 :::EBAY - SOLD DATA SCRAPED ON: 05-03-2024 
2015 PORSCHE 911 $49,500.00 2024-05-02
2008 PORSCHE 911 TURBO $35,000.00 2024-03-29
2020 PORSCHE 911 CARRERA S $49,200.00 2024-03-29
2007 PORSCHE 911 $80,000.00 2024-03-27
1995 PORSCHE 911 $19,000.00 2024-03-27
2007 PORSCHE 911 $64,500.00 2024-03-27
1984 PORSCHE 911 CARRERA $18,100.00 2024-03-27
1995 PORSCHE 911 2DR CABRIOLET CARRERA 6-SPEED MANUAL $36,500.00 2024-03-26
2014 PORSCHE 911 GT3 GMG ROLL CAGE + EXHAUST $59,990.00 2024-03-26
2003 PORSCHE 911 CARRERA 2 $128,991.00 2024-03-26
2021 PORSCHE 911 $16,000.00 2024-03-26
2019 PORSCHE 911 CARRERA GTS 7-SPEED MANUAL! PASM! REAR AXLE STEERI $127,000.00 2024-03-22
2019 PORSCHE 911 CARRERA GTS 7-SPEED MANUAL! PASM! REAR AXLE STEERI $129,800.00 2024-03-22
