 :::EBAY - SOLD DATA SCRAPED ON: 03-22-2024 
Shop on eBay $20.00 2024-03-08
2008 Nissan 350Z $14,900.00 2024-03-05
2015 Nissan Leaf S $6,200.00 2024-03-03
1999 Nissan Altima $1,676.00 2023-12-29
2009 Nissan Murano $3,250.00 2024-01-21
2018 Nissan Versa S $1,200.00 2024-03-14
2007 Nissan Sentra 2.0 S $4,250.00 2023-12-24
2015 Nissan Leaf S $6,500.00 2024-03-12
2004 Nissan Titan $5,500.00 2024-02-18
2015 Nissan Versa $3,500.00 2024-02-21
2014 Nissan Juke S $9,800.00 2024-01-03
2013 Nissan Altima S $2,178.00 2024-02-20
2009 Nissan Murano S $2,300.00 2024-03-19
2012 Toyota 4Runner Trail 4WD one owner clean carfax 51k miles $24,999.00 2024-03-09
1995 Nissan Pathfinder LE $1,125.00 2024-03-17
1995 Nissan Pathfinder LE $1,025.00 2023-12-24
2014 Nissan Versa S $1,500.00 2024-03-18
2007 Nissan Titan SE Offroad $6,600.00 2024-03-13
2014 Nissan Leaf SL $6,990.00 2024-01-23
2013 Nissan Rogue S $1,500.00 2024-01-01
2006 Nissan Xterra OFF ROAD $4,000.00 2024-03-10
2011 Nissan Rogue S $2,500.00 2024-02-26
2015 Nissan Altima 2.5 SL $7,000.00 2024-03-11
2006 Nissan Sentra 1.8 $1,801.00 2024-02-07
2015 Nissan Leaf SV $5,950.00 2024-02-24
2006 Nissan Maxima SE $2,950.00 2024-03-15
2021 Nissan Rogue SV $16,000.00 2024-01-10
2015 Nissan NV $6,900.00 2024-01-19
2005 Nissan Altima 3.5 SE $690.00 2024-02-18
1900 Nissan 240SX $24,700.00 2024-03-11
2020 Chevrolet Traverse LT Leather $13,150.00 2024-03-14
2005 Nissan Altima 2.5 S $455.00 2024-01-09
2009 Nissan GT-R BASE $77,995.00 2023-12-25
1993 Nissan 300ZX FAIRLADY Z Z32 CONVERTIBLE - 39K LOW MILES - BEST DEAL ON EBAY $11,999.00 2024-02-27
2014 Nissan Pathfinder PLATINUM $4,650.00 2024-03-12
2005 Nissan Maxima SE $1,705.00 2024-02-17
2012 Nissan Altima BASE $3,200.00 2024-03-02
1999 Nissan GT-R Midnight Purple II V-Spec $250,000.00 2023-12-29
2021 Nissan Altima 2.5 SV $13,200.00 2024-02-11
2018 Nissan Sentra $7,900.00 2024-02-13
2009 Nissan Altima $5,495.00 2024-01-07
2017 Nissan Leaf $3,900.00 2024-01-06
2020 Nissan Sentra SR $11,999.00 2024-03-04
2013 Nissan Rogue S $1,050.00 2024-03-07
2009 Nissan Versa S $3,000.00 2024-02-05
1979 Chevrolet Camaro $20,000.00 2024-01-14
2009 Nissan Murano SL $3,500.00 2024-02-05
2012 Nissan Versa S $3,050.00 2024-03-02
2007 Nissan Murano SE $550.00 2024-01-25
2013 Nissan Maxima S $4,595.00 2024-01-21
2011 Nissan Maxima $2,600.00 2024-03-17
2013 Nissan Leaf $3,151.00 2024-01-14
2019 Nissan Sentra S $3,328.00 2024-01-18
2004 Nissan Xterra SE $1,425.00 2024-02-17
2000 Nissan Frontier KING CAB XE $1,200.00 2024-03-10
2011 Nissan Pathfinder SV $3,849.99 2024-03-20
1991 Nissan Pathfinder XE $900.00 2024-02-12
2011 Nissan Armada Platinum $3,150.00 2024-01-23
2006 Nissan Sentra 1.8 $905.00 2024-02-05
2011 Nissan Versa S $202.50 2024-02-26
2000 Nissan Xterra SE $1,125.00 2024-03-05
2012 Nissan Leaf $3,272.00 2024-02-20
2011 Nissan Leaf $3,450.00 2024-01-30
2011 Nissan Leaf $4,350.00 2024-03-12
2011 Nissan Leaf SL $2,000.00 2024-01-25
2008 Nissan Rogue S SULEV $1,901.00 2024-01-02
2013 Nissan Sentra $1,452.00 2024-03-13
2008 Nissan Versa 1.8 S $4,551.01 2024-01-18
2009 Nissan Maxima 3.5 $2,901.11 2024-03-18
2009 Nissan Altima 2.5 S $830.00 2024-01-08
2005 Nissan Murano SL $2,325.00 2024-01-03
2007 Nissan Murano SL $1,525.00 2024-02-15
2014 Nissan Pathfinder LT $2,000.00 2024-03-16
2008 Nissan Armada SE, Great Family SUV! $7,995.00 2024-02-21
2015 Nissan Versa $3,500.00 2024-03-05
2007 Nissan Altima 2.5 S $1,275.00 2024-01-09
2017 Nissan Rogue S $4,450.00 2024-03-08
2013 Nissan Sentra SL $6,200.00 2024-03-04
2019 Nissan Pathfinder $14,400.00 2024-02-16
2012 Nissan Altima BASE $3,200.00 2024-03-14
2011 Nissan Altima 2.5 S $1,025.00 2024-02-01
1996 Nissan Pathfinder SE $360.00 2024-02-08
2012 Nissan Altima SR $3,490.00 2024-01-24
2015 Nissan Altima 2.5 SV $3,051.00 2024-03-06
2008 Nissan Altima 2.5 S $665.00 2024-02-11
2015 Nissan Murano $6,500.00 2023-12-28
1997 Nissan Quest XE $1,850.00 2024-02-06
2007 Nissan Altima $600.00 2024-01-02
2016 Nissan Rogue S $8,551.00 2024-02-24
2010 Nissan Cube 1.8 SL $2,325.00 2024-02-25
2003 Nissan Pathfinder NO RESERVE 95K LOW MILES V6 $4,350.00 2024-01-27
2004 Nissan Titan LE CREW CAB W/ LEATHER $4,300.00 2024-01-12
2007 Nissan Murano SL $3,095.00 2024-02-07
2007 Nissan Frontier CREWCAB NISMO 4X4 $7,295.00 2024-02-04
2014 Nissan Pathfinder SV HYBRID $4,300.00 2024-03-10
1991 Nissan Pathfinder LE $1,025.00 2024-03-04
2015 Nissan Rogue S $13,500.00 2024-02-28
1998 Nissan Altima GLE $901.00 2024-01-30
2021 Nissan Titan SV $25,900.00 2024-03-03
2006 Nissan Altima S $2,950.00 2024-02-26
