Year,Make,Model,Price,DateSold
1996,PORSCHE,911,39000,2024-04-08
2014,PORSCHE,911,80500,2024-04-08
2018,PORSCHE,911,62700,2024-04-07
2003,PORSCHE,911,81999,2024-04-07
2000,PORSCHE,911,17100,2024-04-07
1996,PORSCHE,911,17999,2024-04-07
2015,PORSCHE,911,70200,2024-04-07
2011,PORSCHE,911,49000,2024-04-07
2021,PORSCHE,911,47000,2024-04-07
2015,PORSCHE,911,249900,2024-04-07
1999,PORSCHE,911,84100,2024-04-07
2003,PORSCHE,911,16500,2024-04-07
2003,PORSCHE,911,6700,2024-04-06
2000,PORSCHE,911,22000,2024-04-06
2014,PORSCHE,911,15800,2024-04-04
2002,PORSCHE,911,71000,2024-04-04
2020,PORSCHE,911,15000,2024-04-04
1982,PORSCHE,911,103750,2024-04-04
1999,PORSCHE,911,22000,2024-04-02
1975,PORSCHE,911,12950,2024-04-02
2007,PORSCHE,911,64995,2024-04-02
2002,PORSCHE,911,85000,2024-04-02
2002,PORSCHE,911,75000,2024-04-02
1999,PORSCHE,911,22688,2024-04-02
1980,PORSCHE,911,19999,2024-04-01
2003,PORSCHE,911,39000,2024-04-01
2001,PORSCHE,911,10400,2024-03-30
2005,PORSCHE,911,19500,2024-03-30
2008,PORSCHE,911,35000,2024-03-29
2020,PORSCHE,911,49200,2024-03-29
2007,PORSCHE,911,80000,2024-03-27
1995,PORSCHE,911,19000,2024-03-27
2007,PORSCHE,911,64500,2024-03-27
1984,PORSCHE,911,18100,2024-03-27
1995,PORSCHE,911,36500,2024-03-26
2014,PORSCHE,911,59990,2024-03-26
2003,PORSCHE,911,128991,2024-03-26
2021,PORSCHE,911,16000,2024-03-26
2019,PORSCHE,911,127000,2024-03-22
2019,PORSCHE,911,129800,2024-03-22
